IID	IID	pop	super_pop
HG00096	HG00096	GBR	EUR
HG00097	HG00097	GBR	EUR
HG00099	HG00099	GBR	EUR
HG00100	HG00100	GBR	EUR
HG00101	HG00101	GBR	EUR
HG00102	HG00102	GBR	EUR
HG00103	HG00103	GBR	EUR
HG00105	HG00105	GBR	EUR
HG00106	HG00106	GBR	EUR
HG00107	HG00107	GBR	EUR
HG00108	HG00108	GBR	EUR
HG00109	HG00109	GBR	EUR
HG00110	HG00110	GBR	EUR
HG00111	HG00111	GBR	EUR
HG00112	HG00112	GBR	EUR
HG00113	HG00113	GBR	EUR
HG00114	HG00114	GBR	EUR
HG00115	HG00115	GBR	EUR
HG00116	HG00116	GBR	EUR
HG00117	HG00117	GBR	EUR
HG00118	HG00118	GBR	EUR
HG00119	HG00119	GBR	EUR
HG00120	HG00120	GBR	EUR
HG00121	HG00121	GBR	EUR
HG00122	HG00122	GBR	EUR
HG00123	HG00123	GBR	EUR
HG00125	HG00125	GBR	EUR
HG00126	HG00126	GBR	EUR
HG00127	HG00127	GBR	EUR
HG00128	HG00128	GBR	EUR
HG00129	HG00129	GBR	EUR
HG00130	HG00130	GBR	EUR
HG00131	HG00131	GBR	EUR
HG00132	HG00132	GBR	EUR
HG00133	HG00133	GBR	EUR
HG00136	HG00136	GBR	EUR
HG00137	HG00137	GBR	EUR
HG00138	HG00138	GBR	EUR
HG00139	HG00139	GBR	EUR
HG00140	HG00140	GBR	EUR
HG00141	HG00141	GBR	EUR
HG00142	HG00142	GBR	EUR
HG00143	HG00143	GBR	EUR
HG00145	HG00145	GBR	EUR
HG00146	HG00146	GBR	EUR
HG00148	HG00148	GBR	EUR
HG00149	HG00149	GBR	EUR
HG00150	HG00150	GBR	EUR
HG00151	HG00151	GBR	EUR
HG00154	HG00154	GBR	EUR
HG00155	HG00155	GBR	EUR
HG00157	HG00157	GBR	EUR
HG00158	HG00158	GBR	EUR
HG00159	HG00159	GBR	EUR
